particles,processes,memfree,logsize,simtime,IOtime
104857600,32,78.6148,32212254720,1362.835361,40.6121
1638400,32,96.9981,780140544,29.511644,3.5882
419430400,32,24.9992,127775277056,5375.477185,148.134
6553600,32,96.0161,2254857830,88.005431,5.4214
102400,32,97.3731,337641472,11.702727,1.80969
26214400,32,92.3679,8375186227,341.965641,12.281
409600,32,97.3236,403701760,14.451539,2.67329
